,Price,Open,High,Low,Nifty.Vol,Chg,VIXPrice,VIXOpen,VIXHigh,VIXLow,VIXChg,GSECPrice,GSECOpen,GSECHigh,GSECLow,GSECChg,FXPrice,FXOpen,FXHigh,FXLow,FXChg,OilPrice,OilOpen,OilHigh,OilLow,OilChg,FII_BUY,FII_SELL,FII_NET,DII_BUY,DII_SELL,DII_NET,Nifty_PE
36,13133.9,13215.3,13216.6,13107.9,713690,0.0015,19,19.9075,19.9075,17.7225,-0.0456,5.932,5.933,5.935,5.909,0.002,73.86,73.695,73.988,73.67,0.0014,45.64,44.99,45.84,44.66,0.008,14473.15,10835.73,3637.42,4693.02,6132.76,-1439.74,36.12
37,13113.75,13121.4,13128.5,12983.55,717710,4.00E-04,19.9075,20.1825,20.5525,17.9625,-0.0136,5.92,5.951,5.951,5.919,-0.0017,73.76,73.5,73.836,73.402,0.0038,45.28,44.38,45.92,43.92,0.0164,9295.46,8938.11,357.35,3377.19,5013.16,-1635.97,36.06
38,13109.05,13062.2,13128.4,12962.8,583630,0.0108,20.1825,19.8175,21.235,19.245,0.0184,5.93,5.919,5.93,5.909,0.0032,73.482,74.025,74.025,73.445,-0.0069,44.55,45.08,45.7,44.12,-0.0174,11337.25,8095.25,3242,3644.5,4687.71,-1043.21,36.05
39,12968.95,13012.05,13035.3,12914.3,1160000,-0.0014,19.8175,20.0225,21.28,17.625,-0.0102,5.911,5.888,5.916,5.884,0.0066,73.933,73.837,74.116,73.742,0.0014,45.53,45.9,46.09,44.55,0.0122,74741.85,67028.87,7712.98,4875.77,9844.67,-4968.9,35.66
40,12987,12906.45,13018,12790.4,549800,0.01,20.0225,23.1275,23.1275,19.4375,-0.1343,5.872,5.895,5.895,5.869,-0.0022,73.832,73.792,73.913,73.72,9.00E-04,44.98,45.77,46.09,44.73,-0.016,8036.86,6009.55,2027.31,3016.07,6416.17,-3400.1,35.71
41,12858.4,13130,13145.85,12833.65,679010,-0.0151,23.1275,21.0575,23.495,20.68,0.0983,5.885,5.902,5.902,5.876,9.00E-04,73.769,73.97,74.017,73.743,-0.0042,45.71,44.82,46.26,44.73,0.0178,6931.7,6907.5,24.2,3724.49,5564.82,-1840.33,35.36
42,13055.15,13002.6,13079.1,12978,571870,0.01,21.0575,20.7975,22,20.025,0.0125,5.88,5.913,5.913,5.879,-0.0034,74.078,74.244,74.244,73.869,-0.0023,44.91,42.84,45.2,42.82,0.043,12480.89,7917.71,4563.18,3954.39,6476.5,-2522.11,35.9
43,12926.45,12960.3,12968.85,12825.7,633120,0.0052,20.7975,19.6175,20.8625,16.91,0.0602,5.9,5.883,5.903,5.874,0.0039,74.25,74.12,74.277,74.005,0.0019,43.06,42.46,43.36,42.29,0.0216,12442.96,7704.52,4738.44,3909.28,6853.33,-2944.05,35.55
44,12859.05,12813.4,12892.45,12730.25,664000,0.0068,19.6175,19.57,19.8075,16.9975,0.0024,5.877,5.877,5.887,5.871,2.00E-04,74.11,74.165,74.211,74.056,1.00E-04,42.15,41.7,42.32,41.51,0.0098,11000.78,7140,3860.78,2975.8,5844.46,-2868.66,35.36
45,12771.7,12839.5,12963,12745.75,768750,-0.0129,19.57,19.12,19.9825,16.325,0.0235,5.876,5.891,5.891,5.873,-3.00E-04,74.1,74.313,74.349,74.103,-1.00E-04,41.74,41.61,41.98,41.08,-0.0019,10852.05,9671.44,1180.61,3162.07,6017.01,-2854.94,35.12
46,12938.25,12860.1,12948.85,12819.35,731320,0.005,19.12,19.8025,19.8025,15.72,-0.0345,5.878,5.877,5.881,5.86,2.00E-04,74.11,74.475,74.53,74.058,-0.0048,41.82,41.35,42.46,41.08,0.0094,10146.94,7075.01,3071.93,3672.2,6462.05,-2789.85,35.59
47,12874.2,12932.5,12934.05,12797.1,707680,0.0121,19.8025,19.13,20.405,18.4025,0.0051,5.877,5.888,5.888,5.866,-2.00E-04,74.47,74.345,74.635,74.345,0.0013,41.43,41.44,41.69,40.57,0.0022,14689.87,9784.52,4905.35,3076.21,6905.37,-3829.16,34.93
48,12719.95,12659.7,12735.95,12607.7,513950,0.0023,19.7025,20.62,29.525,19.5575,-0.0445,5.878,5.915,5.915,5.875,-0.0042,74.561,74.662,74.725,74.464,-0.0016,40.13,40.94,40.94,40.06,-0.0241,9389.23,7453.31,1935.92,2265.3,4727.72,-2462.42,34.57
49,12690.8,12702.15,12741.15,12624.85,622020,-0.0046,20.62,22.0325,22.0325,19.7875,-0.0641,5.903,5.923,5.923,5.903,0,74.68,74.438,74.76,74.365,0.0032,41.12,41.47,42.19,40.87,-0.008,10143.06,8628.94,1514.12,3810.02,6049.45,-2239.43,34.48
50,12749.15,12680.6,12769.75,12571.1,880480,0.0093,22.0325,21.5775,22.375,18.995,0.0211,5.903,5.936,5.936,5.901,-0.0022,74.439,74.17,74.522,74.17,0.0021,41.45,41.79,43.06,41.32,0.0022,14549.31,8342.12,6207.19,4578.17,8042.03,-3463.86,34.5
51,12631.1,12556.4,12643.9,12475.25,847450,0.0136,21.5775,20.1125,21.845,19.895,0.0728,5.916,5.908,5.918,5.899,0.0068,74.28,73.955,74.478,73.948,0.0034,41.36,39.91,41.84,39.41,0.0266,14188.59,8561.27,5627.32,6626.38,8935.57,-2309.19,34.18
52,12461.05,12399.4,12474.05,12367.35,553450,0.0161,20.1125,20.4975,21.0475,17.58,-0.0188,5.876,5.883,5.886,5.871,9.00E-04,74.03,73.976,74.175,73.637,8.00E-04,40.29,37.34,41.33,37.16,0.0848,9163.22,4614.83,4548.39,3030.65,6066.96,-3036.31,33.62
53,12263.55,12156.65,12280.4,12131.85,576840,0.0118,20.4975,20.965,20.965,19.2825,-0.0223,5.871,5.846,5.873,5.837,0.0019,73.974,74.03,74.286,73.86,9.00E-04,37.14,38.54,38.61,37.06,-0.0425,9450.25,4580.38,4869.87,2950.98,5889.64,-2938.66,33.09
54,12120.3,12062.4,12131.1,12027.6,632460,0.0178,20.965,23.2,23.2,19.99,-0.0963,5.86,5.883,5.883,5.855,-0.0044,73.91,74.317,74.41,73.914,-0.0061,38.79,39.17,39.35,38.27,-0.0092,9962.68,4594.37,5368.31,3588.71,5796.89,-2208.18,32.84
